"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"01648000",0.583344168647981,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC","ST",385821,770224,38.9725,-77.04,"M","S","NAD83","NAD83","24","11","001","US",NA,NA,NA,148.14,"N",0.1,"NAVD88","02070010",NA,NA,"YYNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,62.2,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"442400100","High"
"01648010",0.574608885168735,7.25479452054795,2012-10-01,2019-12-31,0,"USGS","ROCK CREEK AT JOYCE RD WASHINGTON, DC","ST",385736.6,770231.4,38.96016667,-77.0420556,"M","1","NAD83","NAD83","24","11","001","US",NA,"WASHINGTON WEST","  24000",136.78,"D",0.01,"NAVD88","02070010",NA,NA,"YNYNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,63.7,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"01651770",1.29223378406637,7.15616438356164,2012-10-01,2019-12-31,0.013595166163142,"USGS","HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC","ST",385500.5,765809.2,38.91680556,-76.9692222,"G","1","NAD83","NAD83","24","11","001","US",NA,"WASHINGTON EAST, DC","  24000",16.16,"D",0.01,"NAVD88","02070010",NA,"C","YNNYYNYNNNNNNNNNNNNNNNNNNNNNNN",NA,20120907,0.99,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"EFN20","High"
"01651800",0.896533457668784,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WATTS BRANCH AT WASHINGTON, DC","ST",385404.6,765635.8,38.90127778,-76.94327778,"N","S","NAD83","NAD83","24","11","001","US",NA,"WASHINGTON, EAST","  24000",10.73,"L",0.01,"NAVD88","02070010",NA,NA,"YNNYNNYNNYNNNNNNNNNNNNNNNNNNNN",NA,NA,3.36,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"442400100","High"
