"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"15320100",0.474179880143494,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WADE C TRIB NR CHICKEN AK","ST",640706,1413313,64.1180119,-141.5558947,"M","S","NAD27","NAD83","02","02","240","US",NA,"EAGLE A-2","  63360",1980,"M",50,"NGVD29","19070502",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4.2,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15348000",0.19027174813552,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","FORTYMILE R NR STEELE CREEK AK","ST",641833,1412408,64.3088552,-141.4045168,"M","S","NAD27","NAD83","02","02","240","US","SWSWNES16 T007S R032E F","EAGLE B-1","  63360",1200,"M",50,"NGVD29","19070502",NA,NA,"NNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,5850,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15356000",0.0297527662471838,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","YUKON R AT EAGLE AK","ST",644722,1411152,64.789168,-141.2000892,"M","T","NAD27","NAD83","02","02","240","US","    NWS31 T001S R033E F","EAGLE D-1","  63360",850,"M",25,"NGVD29","19070504",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,111600,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15453500",0.0322014816731908,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","YUKON R NR STEVENS VILLAGE AK","ST",655232,1494304,65.8751013,-149.7203487,"M","T","NAD27","NAD83","02","02","290","US","  SESWS07 T012N R010W F","LIVENGOOD D-6","  63360",243.8,"Y",0.5,"NAVD88","19080404",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,194000,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15457790",0.393636686212937,9.25753424657534,2010-10-01,2019-12-31,0,"USGS","GOLDSTREAM C BL ALABAM C NR LIVENGOOD AK","ST",653426.4,1482316.28,65.574,-148.3878556,"N","5","NAD83","NAD83","02","02","290","US","NESESWS 28T009N R004W F","LIVENGOOD C-3","  63360",1200,"M",50,"NGVD29","19080404","06","C","NNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,20100831,28.8,NA,"AKST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Med"
"15477740",0.172918388751173,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","GOODPASTER R NR BIG DELTA AK","ST",642702,1445632,64.4501744,-144.9445717,"M","F","NAD27","NAD83","02","02","240","US","NWNWSES27 T005S R014E F","BIG DELTA B-2","  63360",1350,"M",50,"NGVD29","19080303",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19980730,676,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15478040",0.171599462304728,9.78082191780822,2010-01-01,2019-10-10,0,"USGS","PHELAN C NR PAXSON AK","ST",631425,1452805,63.24027778,-145.4680556,"Y","1","NAD83","NAD83","02","02","240","US","    SWS28 T019S R012E F","MT HAYES A-3","  63360",3697.8,"F",0.1,"NAVD88","19080304",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,12.1,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15484000",0.132177742974541,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SALCHA R NR SALCHAKET AK","ST",642817.5,1465541,64.47152778,-146.9280556,"Y","1","NAD83","NAD83","02","02","090","US","    NES22 T005S R004E F","BIG DELTA B-6","  63360",637.24,"Y",0.1,"NAVD88","19080305",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2200,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15485500",0.0360255646426583,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TANANA R AT FAIRBANKS AK","ST",644734,1475020,64.792344,-147.8413097,"M","T","NAD27","NAD83","02","02","090","US","NESWSWS25 T001S R002W F","FAIRBANKS D-2","  63360",404.93,"F",0.1,"NAVD88","19080307",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15493000",0.128899601688758,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHENA R NR TWO RIVERS AK","ST",645407.1,1462140.8,64.9019722,-146.3613333,"Y","1","NAD83","NAD83","02","02","090","US","    NES20 T001N R007E F","BIG DELTA D-5","  63360",725.91,"Y",0.1,"NAVD88","19080306",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,934,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15511000",0.091428201743706,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","L CHENA R NR FAIRBANKS AK","ST",645310,1471450,64.88568988,-147.2496477,"M","T","NAD27","NAD83","02","02","090","US","  SWNES25 T001N R002E F","FAIRBANKS D-1","  63360",464.17,"D",0.01,"NAVD88","19080306",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,372,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15514000",0.0686636838045987,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHENA R AT FAIRBANKS AK","ST",645045,1474204,64.8454026,-147.703536,"M","T","NAD27","NAD83","02","02","090","US","    NWS11 T001S R001W F","FAIRBANKS D-2","  63360",428.02,"D",0.01,"NAVD88","19080306",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1990,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15515048",0.197412393314675,3.4027397260274,2016-05-18,2019-10-11,0,"USGS","MARGUERITE C 3.6 MI AB EMMA C NR HEALY AK","ST",635826,1484540,63.97388889,-148.761111,"G","S","NAD83","NAD83","02","02","068","US","SWNESES08 T011S R006W F","HEALY D-4","  63360",2130,"M",25,"NAVD88","19080307",NA,NA,"YNNNYNYNNNNNNNNNYNNNNNNNNNNNNN",NA,20160419,10.1,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15515060",0.230881526782676,9.78356164383562,2010-01-01,2019-10-11,0,"USGS","MARGUERITE C AB EMMA C NR HEALY AK","ST",640032,1484333,64.0084337,-148.7281673,"G","S","NAD27","NAD83","02","02","068","US","SWNENES33 T010S R006W F","FAIRBANKS A-4","  63360",1850,"M",50,"NGVD29","19080307",NA,"C","YNNNYNNNNYNNNYNNNNNNNNNNNNNNNN",NA,NA,15.6,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Med"
"15515080",0.110394999986825,3.75068493150685,2010-01-01,2013-09-30,0,"USGS","EMMA C NR HEALY AK","ST",640042,1484331,64.01121149,-148.727612,"G","S","NAD27","NAD83","02","02","068","US","SWSESES28 T010S R006W F","FAIRBANKS A-4","  63360",1850,"M",50,"NGVD29","19080307",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,5.9,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15515500",0.0353598096775897,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TANANA R AT NENANA AK","ST",643353.8,1490538.4,64.5649444,-149.094,"Y","1","NAD83","NAD83","02","02","290","US","    SES14 T004S R008W F","FAIRBANKS C-5","  63360",343.71,"Y",0.1,"NAVD88","19080307",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,25560,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15519100",0.266250420914581,9.04109589041096,2010-10-01,2019-10-13,0,"USGS","TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK","ST",652755,1483743,65.4648407,-148.6311143,"M","S","NAD27","NAD83","02","02","290","US","NWSENWS005T007N R005W F","LIVENGOOD B-4","  63360",450,"M",50,"NGVD29","19080309","06","C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20100901,243,NA,"AKST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Med"
"15519150",0.222186161102406,5,2010-10-01,2015-09-29,0,"USGS","WF TOLOVANA R NR LIVENGOOD AK","ST",652800,1484000,65.4662288,-148.6691702,"M","S","NAD27","NAD83","02","02","290","US","SWNWNWS06 T007N R005W F","LIVENGOOD B-4","  63360",450,"M",50,"NGVD29","19080309","06","C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20100901,292,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Med"
"15564879",0.176174572023995,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SLATE C AT COLDFOOT AK","ST",671516,1501038,67.2544444,-150.1772222,"Y","S","NAD83","NAD83","02","02","290","US","      S15 T028N R012W F","WISEMAN B-1","  63360",1046.65,"Y",0.1,"NAVD88","19090101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,73.1,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15565447",0.0182214614705367,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","YUKON R AT PILOT STATION AK","ST",615604,1625250,61.9336866,-162.8829356,"M","S","NAD27","NAD83","02","02","270","US","  SWSES05 T021N R074W S","MARSHALL D-3","  63360",20,"M",12,"NGVD29","19090304",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,318300,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15743850",0.107306447391827,9.83835616438356,2010-01-01,2019-10-31,0,"USGS","DAHL C NR KOBUK AK","ST",665646,1565432,66.9455603,-156.9116193,"M","T","NAD27","NAD83","02","02","188","US","      S28 T018N R009E K","SHUNGNAK D-2","  63360",150,"M",25,"NGVD29","19050302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,10.9,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15747000",0.217141299003489,9.78904109589041,2010-01-01,2019-10-13,0,"USGS","WULIK R BL TUTAK C NR KIVALINA AK","ST",675234,1634028,67.8754405,-163.6773733,"M","T","NAD27","NAD83","02","02","188","US","    NWS34 T029N R022W K","NOATAK D-4","  63360",178.5,"Z",0.5,"NAVD88","19050404",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,705,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15803000",0.265926394377446,9.76438356164384,2010-01-01,2019-10-04,0,"USGS","MEADE R AT ATKASUK AK","ST",702945,1572333,70.4953764,-157.395848,"M","S","NAD27","NAD83","02","02","185","US","SESWNES07 T013N R021W U","MEADE RIVER B-3","  63360",50,"M",25,"NGVD29","19060203","01","C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1790,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15875000",0.204509487662168,9.78356164383562,2010-01-01,2019-10-11,0,"USGS","COLVILLE R AT UMIAT AK","ST",692137.8,1520721.7,69.3605,-152.1226944,"Y","D","NAD83","NAD83","02","02","185","US","SESENWS16 T001S R001W U","UMIAT B-4","  63360",267.2,"Y",0.5,"NAVD88","19060303",NA,NA,"NNNNYNNNNNNNNYNNYNNNNNNNNNNNNN",NA,NA,13860,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15896000",0.230798387389946,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","KUPARUK R NR DEADHORSE AK","ST",701654,1485735,70.28138539,-148.962786,"M","T","NAD27","NAD83","02","02","185","US","    NES25 T011N R012E U","BEECHY POINT B-4","  63360",0,"L",0.01,"NGVD29","19060401",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3340,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15908000",0.148371465317987,9.93150684931507,2010-01-01,2019-12-18,0.00384721077219019,"USGS","SAGAVANIRKTOK R NR PUMP STA 3 AK","ST",690057,1484904,69.0158333,-148.8177778,"N","5","NAD83","NAD83","02","02","185","US","NWNENWS16 T005S R014E U","SAGAVANIRKTOK A-4","  63360",1117.35,"Y",0.1,"NAVD88","19060402",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1850,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15980000",0.228194671309706,9.22465753424657,2010-09-30,2019-12-18,0,"USGS","HULAHULA R NR KAKTOVIK AK","ST",694214,1441154,69.7036856,-144.2010893,"M","S","NAD27","NAD83","02","02","185","US","NWSWSES14 T004N R032E U","MT MICHELSON C-1","  63360",675,"M",25,"NGVD29","19060502","01","C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20100801,684.83,NA,"AKST","Y","C",NA,NA,NA,NA,NA,NA,NA,NA,"Med"
