"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"15238990",0.253122349548236,9.21095890410959,2010-01-01,2019-12-31,0.079408543263965,"USGS","UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK","ST",594202,1504209,59.6999688,-150.704616,"M","T","NAD27","NAD83","02","02","122","US",NA,"SELDOVIA C-2","  63360",1250,"M",50,"NGVD29","19020301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15239050",0.150564398538996,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MF BRADLEY R NR HOMER AK","ST",594642,1504515,59.77774568,-150.7562948,"M","R","NAD27","NAD83","02","02","122","US","NENWNES02 T005S R009W S","SELDOVIA D-3","  63360",2300,"M",25,"NGVD29","19020301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,9.1,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15239060",0.133958089168418,9.29041095890411,2010-01-01,2019-12-31,0.0714676889375685,"USGS","MF BRADLEY R BL NF BRADLEY R NR HOMER AK","ST",594754,1505148,59.79774138,-150.8654632,"M","S","NAD27","NAD83","02","02","122","US","SENESWS29 T004S R009W S","SELDOVIA D-3","  63360",225,"M",25,"NGVD29","19020301",NA,NA,"NNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15239070",0.147585510814816,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BRADLEY R NR TIDEWATER NR HOMER AK","ST",594806,1505258,59.80107399,-150.8849079,"M","S","NAD27","NAD83","02","02","122","US","  SENES30 T004S R009W S","SELDOVIA D-3","  63360",25,"M",5,"NGVD29","19020301",NA,NA,"NNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15243900",0.210961954169962,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SNOW R NR SEWARD AK","ST",601742,1492038,60.2944395,-149.3460397,"M","T","NAD27","NAD83","02","02","122","US","  SENWS06 T002N R001E S","SEWARD B-7","  63360",459.7,"F",0.1,"NAVD88","19020302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,150,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15258000",0.0444790198389163,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","KENAI R AT COOPER LANDING AK","ST",602934,1494828,60.49219269,-149.8099203,"M","T","NAD27","NAD83","02","02","122","US","  NWSES28 T005N R003W S","SEWARD B-8","  63360",425.9,"F",0.1,"NAVD88","19020302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,643,NA,"AKST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15261000",0.0889133878891096,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","COOPER C AT MOUTH NR COOPER LANDING AK","ST",602850,1495250,60.4799795,-149.882711,"M","R","NAD27","NAD83","02","02","122","US","  NWSWS31 T005N R003W S","SEWARD B-8","  63360",436.9,"F",0.1,"NAVD88","19020302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,16.8,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15266110",0.0312811016651156,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","KENAI R BL SKILAK LK OUTLET NR STERLING AK","ST",602800,1503556,60.466099,-150.60109,"M","S","NAD27","NAD83","02","02","122","US","  SWNWS01 T004N R008W S","KENAI B-2","  63360",240,"M",25,"NGVD29","19020302",NA,NA,"YNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,1250,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15266300",0.0290243410066905,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","KENAI R AT SOLDOTNA AK","ST",602839,1510446,60.4769289,-151.0816675,"M","T","NAD27","NAD83","02","02","122","US","NESWSWS32 T005N R010W S","KENAI B-3NW","  25000",40.4,"F",0.01,"NAVD88","19020302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2020,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15271000",0.0993787409951028,9.96438356164384,2010-01-01,2019-12-31,0.0041073384446878,"USGS","SIXMILE C NR HOPE AK","ST",604915,1492531,60.82027267,-149.427443,"M","T","NAD27","NAD83","02","02","122","US","  SWSES34 T008N R001W S","SEWARD D-7","  63360",261.4,"F",0.1,"NAVD88","19020302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,234,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15274600",0.094929770125778,9.96164383561644,2010-01-01,2019-12-15,0,"USGS","CAMPBELL C NR SPENARD AK","ST",610822,1495524,61.1388906,-149.9255337,"M","S","NAD27","NAD83","02","02","020","US","  SESES11 T012N R004W S","ANCHORAGE A-8","  63360",9.1,"F",0.1,"NAVD88","19020401",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,67.7,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15275100",0.127312175740809,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK","ST",611219,1495343,61.20472578,-149.8974826,"M","F","NAD27","NAD83","02","02","020","US","NENENES24 T013N R004W S","ANCH A-8NW","  25000",22.9,"F",0.1,"NAVD88","19020401",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,29.5,NA,"AKST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15276000",0.0756142215299267,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","SHIP C NR ANCHORAGE AK","ST",611332,1493806,61.22500619,-149.6372008,"M","R","NAD27","NAD83","02","02","020","US","SESWSES09 T013N R002W S","ANCHORAGE A-8NE","  25000",484.1,"F",0.1,"NAVD88","19020401",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,89.6,NA,"AKST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
